"","userid","mobile_likes","www_likes"
"1",1711316,1,0
"2",2154106,1,0
"3",1443003,1,0
"4",1218071,1,0
"5",1711205,1,0
"6",1304252,1,0
"7",1094716,1,0
"8",1722049,1,0
"9",2167727,1,0
"10",1036417,1,0
"11",1147486,1,0
"12",1378741,1,0
"13",1624992,1,0
"14",1619439,1,0
"15",1246958,1,0
"16",1291024,1,0
"17",1233564,1,0
"18",2125248,1,0
"19",1521497,1,0
"20",1274538,1,0
"21",1129899,1,0
"22",1621971,1,0
"23",1670804,1,0
"24",2007521,1,0
"25",1913398,1,0
"26",1418810,1,0
"27",1767978,1,0
"28",1239383,1,0
"29",1174736,1,0
"30",1837490,1,0
"31",1538668,1,0
"32",1690559,1,0
"33",1237359,1,0
"34",1386126,1,0
"35",1398301,1,0
"36",1772254,1,0
"37",1230734,1,0
"38",1329350,1,0
"39",1997976,1,0
"40",1040257,1,0
"41",1766686,1,0
"42",1829429,1,0
"43",1195723,1,0
"44",1019185,1,0
"45",1082188,1,0
"46",1324292,1,0
"47",1998123,1,0
"48",1973211,1,0
"49",1642857,1,0
"50",1856878,1,0
"51",1850867,2,0
"52",1519123,2,0
"53",1322018,2,0
"54",1303764,2,0
"55",1463663,2,0
"56",1294804,2,0
"57",1790126,2,0
"58",1010102,2,0
"59",1009089,2,0
"60",2140556,2,0
"61",2062602,2,0
"62",1922283,2,0
"63",1213485,2,0
"64",1383189,2,0
"65",1156336,2,0
"66",1158537,2,0
"67",1058475,2,0
"68",1475564,2,0
"69",1001574,2,0
"70",1705855,2,0
"71",1264301,2,0
"72",1503105,2,1
"73",1376108,3,0
"74",1366797,3,0
"75",2058078,3,0
"76",1887691,3,0
"77",1429804,3,0
"78",1539952,3,0
"79",2151054,3,0
"80",1414495,3,0
"81",1938094,3,0
"82",2099526,3,0
"83",1115935,3,0
"84",1525419,3,0
"85",1463219,3,0
"86",1195708,3,0
"87",1378143,3,0
"88",1979444,3,0
"89",1086694,3,0
"90",2193232,3,0
"91",1115706,3,0
"92",2042248,3,0
"93",2008882,3,0
"94",1955575,3,1
"95",1620733,3,1
"96",1310691,4,0
"97",1819376,4,0
"98",1186167,4,0
"99",1991135,4,0
"100",2023466,4,0
"101",2016714,4,0
"102",2015868,4,0
"103",1038427,4,0
"104",2042382,4,0
"105",1887403,4,0
"106",1384293,4,0
"107",1298604,4,1
"108",1583567,5,0
"109",1452831,5,0
"110",2124479,5,0
"111",1450528,5,0
"112",2033891,5,0
"113",1027133,5,0
"114",1570548,6,0
"115",1915466,6,0
"116",1104347,6,0
"117",2013054,6,0
"118",1634817,6,0
"119",1457284,6,0
"120",1263854,5,2
"121",1912947,6,1
"122",1576478,7,0
"123",1487785,7,0
"124",1568218,7,0
"125",1460505,7,0
"126",1265439,7,0
"127",1999113,8,0
"128",1649393,8,0
"129",1766669,8,0
"130",1140115,9,0
"131",1349910,9,0
"132",1653309,10,0
"133",1661265,10,0
"134",1532610,11,0
"135",1766696,12,0
"136",1423339,12,0
"137",1890995,14,1
"138",1808197,15,0
"139",1016949,15,0
"140",1436056,18,2
"141",1569909,25,0
"142",1680330,19,10
"143",2173192,30,1
"144",1723643,30,0
"145",1133333,35,0
"146",1128724,50,0
"147",1782187,51,3
"148",2108753,67,0
"149",1527312,81,0
"150",1395843,95,0
"151",1306409,164,0
"152",1594192,271,0
"153",1609579,848,0
"154",1060324,1,0
"155",1687956,1,0
"156",1011042,1,0
"157",2121795,1,0
"158",1319148,1,0
"159",1931616,1,0
"160",1000768,1,0
"161",1864125,1,0
"162",1771672,1,0
"163",2023194,1,0
"164",1734052,1,0
"165",1267155,1,0
"166",1596389,1,0
"167",2092794,1,0
"168",2034396,1,0
"169",1818889,1,0
"170",1532781,1,0
"171",1776494,1,0
"172",1930877,1,0
"173",1561090,1,0
"174",1349043,1,0
"175",1287561,1,0
"176",1861640,1,0
"177",1728572,1,0
"178",1837274,1,0
"179",1270214,1,0
"180",1794401,1,0
"181",1539681,1,0
"182",1908510,1,0
"183",1781137,1,0
"184",1389045,1,0
"185",1605782,1,0
"186",1206994,1,0
"187",1311295,1,0
"188",1206865,1,0
"189",2010575,1,0
"190",1166663,1,0
"191",2090241,1,0
"192",1007079,1,0
"193",1578934,1,0
"194",2171980,1,0
"195",1829209,1,0
"196",1352564,1,0
"197",1349021,1,0
"198",1487150,1,0
"199",1905841,1,0
"200",2065971,1,0
"201",2025500,1,0
"202",1633750,1,0
"203",1521509,1,0
"204",1644119,1,0
"205",1060475,1,0
"206",2079214,1,0
"207",1528130,1,0
"208",2046519,1,0
"209",1238516,1,0
"210",1433076,1,0
"211",1743636,1,0
"212",2185226,1,0
"213",1678332,1,0
"214",1354107,1,0
"215",1854930,1,0
"216",1615174,1,0
"217",1862186,1,0
"218",1654168,1,0
"219",1245519,1,0
"220",1558616,1,0
"221",1797087,1,0
"222",1473374,1,0
"223",1341559,1,0
"224",1339370,1,0
"225",1249556,1,0
"226",1437435,1,0
"227",2118690,1,0
"228",1469860,1,0
"229",2024966,1,0
"230",1772770,1,0
"231",1584301,1,0
"232",1558499,1,0
"233",1362103,1,0
"234",1279002,1,0
"235",1024981,1,0
"236",2147521,1,0
"237",1857661,1,0
"238",1295713,1,0
"239",1546650,1,0
"240",1998640,1,0
"241",1187610,1,0
"242",1987817,1,0
"243",1611596,1,0
"244",1511595,1,0
"245",1879599,1,0
"246",1711291,1,0
"247",2087912,1,0
"248",1220152,1,0
"249",1861287,1,0
"250",1102292,1,0
"251",2154329,1,0
"252",1182286,1,0
"253",1931318,1,0
"254",1605221,1,0
"255",2147745,1,0
"256",2178583,1,0
"257",2125251,1,0
"258",1558823,1,0
"259",1605408,1,0
"260",2157800,1,0
"261",1899558,1,0
"262",1904344,1,0
"263",1740708,1,0
"264",1215602,1,0
"265",2022882,1,0
"266",1962434,1,0
"267",2074576,2,0
"268",2061089,2,0
"269",2084694,2,0
"270",1786769,2,0
"271",1532379,2,0
"272",1182150,2,0
"273",1437507,2,0
"274",1783864,2,0
"275",1779243,2,0
"276",1591031,2,0
"277",1544481,2,0
"278",1733474,2,0
"279",1937885,2,0
"280",1847699,2,0
"281",1545763,2,0
"282",1891985,2,0
"283",1111600,2,0
"284",1115637,2,0
"285",2123232,2,0
"286",1484417,2,0
"287",1921388,2,0
"288",2007770,2,0
"289",1215976,2,0
"290",1031925,2,0
"291",1909468,2,0
"292",2193378,2,0
"293",2088609,2,0
"294",1219728,2,0
"295",1061431,2,0
"296",1346450,2,0
"297",2049826,2,0
"298",2136081,2,0
"299",1856939,2,0
"300",2083408,2,0
"301",1522969,2,0
"302",1260563,2,0
"303",1085876,2,0
"304",1612407,2,0
"305",1813005,2,0
"306",1913017,2,0
"307",1076245,2,0
"308",1574101,2,0
"309",1598595,2,0
"310",1761815,2,0
"311",1439196,2,0
"312",1798839,2,0
"313",2166502,2,0
"314",1018111,2,1
"315",2141539,3,0
"316",1647184,3,0
"317",1358188,3,0
"318",1221961,3,0
"319",1762419,3,0
"320",1719781,3,0
"321",1967976,3,0
"322",1935137,3,0
"323",1707654,3,0
"324",1462392,3,0
"325",1697688,3,0
"326",1546401,3,0
"327",1922492,3,0
"328",1627559,3,0
"329",1920366,3,0
"330",1318757,3,0
"331",1910166,3,0
"332",1086155,3,0
"333",1960820,3,0
"334",1486996,3,0
"335",1487746,3,0
"336",1370290,3,0
"337",1055406,3,0
"338",1395847,3,0
"339",2114402,3,0
"340",1521778,3,1
"341",1997669,3,1
"342",1679199,4,0
"343",1462320,4,0
"344",2093647,4,0
"345",1729385,4,0
"346",2082753,4,0
"347",2182254,4,0
"348",2105695,4,0
"349",1914123,4,0
"350",2044847,4,0
"351",1053727,4,0
"352",1970607,4,0
"353",1662732,4,0
"354",1060795,4,0
"355",1031968,4,0
"356",2150801,4,0
"357",1151771,4,0
"358",2036718,4,0
"359",2162004,4,0
"360",1657141,4,0
"361",1125464,4,0
"362",1360207,4,0
"363",1937848,4,0
"364",1130668,4,0
"365",2115075,3,2
"366",1790747,4,1
"367",1555559,5,0
"368",1518644,5,0
"369",1298882,5,0
"370",1168893,5,0
"371",1985366,5,0
"372",1358704,5,0
"373",1317104,5,0
"374",1102181,5,0
"375",1921593,5,0
"376",1278456,5,0
"377",1660953,5,0
"378",1137497,5,0
"379",1654671,5,0
"380",1699920,5,0
"381",1742712,5,0
"382",1584442,5,0
"383",1635826,5,0
"384",1197883,4,2
"385",1468921,6,0
"386",1873299,6,0
"387",2160865,6,0
"388",2118340,6,0
"389",2015867,6,0
"390",1261844,6,0
"391",1487592,6,0
"392",1917256,4,3
"393",1630348,6,1
"394",2086626,7,0
"395",1276097,7,0
"396",1655776,7,0
"397",1975747,7,0
"398",1211421,7,0
"399",1081556,7,0
"400",2067909,5,3
"401",1788403,7,1
"402",1464149,6,2
"403",1029743,8,0
"404",1158797,8,0
"405",1797627,8,0
"406",2009156,8,0
"407",1840443,8,0
"408",1653874,8,0
"409",1153660,8,0
"410",1526159,8,0
"411",2061875,8,0
"412",1596132,8,0
"413",1017525,8,0
"414",2056757,8,0
"415",1046765,7,2
"416",1148050,7,2
"417",1877938,7,2
"418",2190749,8,1
"419",2087994,9,0
"420",2115796,9,0
"421",1550436,7,3
"422",1564047,7,3
"423",1613849,9,1
"424",2108799,8,2
"425",1733042,10,0
"426",2072706,10,0
"427",1196827,6,5
"428",2060785,11,0
"429",1001050,11,0
"430",1606304,11,0
"431",1688520,11,0
"432",1705796,11,0
"433",2039959,11,0
"434",1348974,11,0
"435",2130854,11,1
"436",1957707,12,0
"437",2073470,12,0
"438",1927134,12,0
"439",1831989,9,4
"440",1603558,10,3
"441",1459482,13,0
"442",1244715,13,0
"443",1215458,13,0
"444",2010080,13,0
"445",1658107,10,4
"446",2091307,12,2
"447",1651248,12,2
"448",1475153,14,0
"449",1255366,14,0
"450",1671157,14,0
"451",1704557,14,0
"452",1598552,10,5
"453",2184666,14,1
"454",1412432,13,2
"455",1008163,15,0
"456",1806794,15,0
"457",1341015,15,0
"458",1259476,10,6
"459",1189529,16,0
"460",1877483,17,0
"461",1541922,16,2
"462",1690369,18,0
"463",1232132,18,0
"464",1260852,18,0
"465",1518803,20,0
"466",2134315,21,0
"467",1590366,21,0
"468",1406450,22,0
"469",1482211,22,0
"470",1222725,22,0
"471",1183424,23,0
"472",1621195,22,2
"473",1852144,23,1
"474",1648600,24,0
"475",2055095,21,4
"476",1268548,25,0
"477",1786433,26,0
"478",1325886,29,0
"479",1942752,19,12
"480",1801457,30,0
"481",1837328,30,0
"482",1788081,31,0
"483",1013701,31,0
"484",2141936,23,9
"485",1514306,32,0
"486",1593178,32,0
"487",1027080,33,0
"488",1159469,33,0
"489",1951579,36,0
"490",1921368,37,0
"491",1457315,37,0
"492",1882947,39,0
"493",1749301,40,0
"494",1145719,36,5
"495",2172359,41,0
"496",1405634,43,0
"497",1602849,44,0
"498",1972054,34,12
"499",1982711,46,0
"500",1096555,47,0
"501",1686791,48,1
"502",1942621,38,12
"503",2142658,51,2
"504",1924038,52,0
"505",1408413,52,0
"506",1466777,51,3
"507",1571868,31,27
"508",1712950,56,2
"509",2172128,56,0
"510",1270146,59,0
"511",1806565,57,6
"512",1098755,61,0
"513",1582384,62,2
"514",1462477,54,10
"515",2089581,66,0
"516",1043140,74,0
"517",1087134,49,28
"518",1979743,79,1
"519",1548968,82,0
"520",1567443,83,0
"521",1491249,83,0
"522",1198699,83,2
"523",1077923,85,0
"524",1942151,91,0
"525",1653316,78,24
"526",1709107,110,0
"527",1210718,115,0
"528",1072822,113,7
"529",1997333,127,0
"530",1353461,125,0
"531",2018658,130,3
"532",1215822,148,0
"533",1805707,165,0
"534",2040144,166,0
"535",1680121,198,0
"536",1228363,237,0
"537",1306240,271,0
"538",1727513,349,0
"539",1537101,389,0
"540",1058141,422,0
"541",1886839,494,0
"542",2168447,500,32
"543",1859150,600,0
"544",2159954,1237,7
"545",1644207,1426,1
"546",1006266,5704,233
"547",1064550,1,0
"548",1002679,1,0
"549",1825027,1,0
"550",1265259,1,0
"551",1593837,1,0
"552",1875072,1,0
"553",1719333,1,0
"554",1331021,1,0
"555",2072418,1,0
"556",1171802,1,0
"557",1574569,1,0
"558",2191589,1,0
"559",1632047,1,0
"560",1745088,1,0
"561",2048950,1,0
"562",1508883,1,0
"563",1174906,1,0
"564",1862410,1,0
"565",1760310,1,0
"566",1993898,1,0
"567",1491106,1,0
"568",1579654,1,0
"569",1252199,1,0
"570",1578989,1,0
"571",1691217,1,0
"572",1508478,1,0
"573",1051759,1,0
"574",1637763,1,0
"575",1625868,1,0
"576",1420100,1,0
"577",1847342,1,0
"578",1254837,1,0
"579",1487215,1,0
"580",1280237,1,0
"581",1655349,1,0
"582",1131730,1,0
"583",2125877,1,0
"584",1364332,1,0
"585",2157049,1,0
"586",2039746,1,0
"587",1089771,1,0
"588",1539444,1,0
"589",1847691,1,0
"590",1923771,1,0
"591",2031316,1,0
"592",1540382,1,0
"593",1502715,1,0
"594",1953361,1,0
"595",1323507,1,0
"596",1097163,1,0
"597",2182370,1,0
"598",1482041,1,0
"599",1744412,1,0
"600",1600039,1,0
"601",1945982,1,0
"602",1247080,1,0
"603",1868227,1,0
"604",1376354,1,0
"605",1827004,1,0
"606",1137853,1,0
"607",1073434,1,0
"608",1700505,1,0
"609",1190856,1,0
"610",1309248,1,0
